Type,Price,Bedrooms,Bathrooms,Area,Furnished,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Description,Security,Balcony,Private_Garden,Pets_Allowed,Covered_Parking,Maids_Room,Electricity_Meter,Natural_Gas,Landline,Pool,Central_heating,Built_in_Kitchen_Appliances,Elevator
Stand Alone Villa,16000000.0,4,5,368,No,Unknown,Cash or Installment,Ready to move,Finished,New Cairo - El Tagamoa,فيلا بكمبوند Palma على التسعين الشمالي سور Waterway 2 - تقسيط ٧ سنوات,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,750000.0,4,3,197,Unknown,Unknown,Cash or Installment,Ready to move,Unknown,6th of October,لسرعه البيع استلم فوري فيلا ١٩٧م مباني في #باديا #اكتوبر,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Stand Alone Villa,9000000.0,5,5,450,No,Unknown,Cash,Ready to move,Finished,Shorouk City,فيلا للبيع في ماي فير الشروق بمساحة 900م تطل علي وايد جاردن متشطبه,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable
Twin House,7500000.0,3,3,490,No,Layan,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa,توين هاوس 490م للبيع فى كمبوند ليان Layan بموقع مميزKM59,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Twin House,8250000.0,4,3,475,Unknown,Casa Verde,Cash,Unknown,Semi Finished,New Cairo - El Tagamoa,فيلا لقطة للبيع جاهزة للمعاينة ع فيو بحيرات ومساحات خضرا كازا فيردى,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Twin House,6400000.0,4,4,280,Unknown,El Patio,Cash,Unknown,Semi Finished,Sheikh Zayed,فيلا توين هاوس في الشيخ زايد كومباوند باتيو الزهراء 275م نصف تشطيب,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,12000000.0,5,5,425,Unknown,Greens,Cash,Ready to move,Unknown,Sheikh Zayed,F فيلا مستقلة للبيع كمبوند جرينز الشيخ زايد  اكبر مساحة مباني,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,6900000.0,5,3,333,No,Selena,Cash or Installment,2026,Not Finished,Sheikh Zayed,stand alone villa 333m|فيلا مستقلة الشيخ زايد الجديدة |villas for sale,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,19000000.0,6,4,615,No,Madinaty,Cash,Ready to move,Not Finished,Madinaty,فيلا مباني كبيره 615م بدون تشطيب نموذج القصور في مدينتي,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,8500000.0,5,4,500,Unknown,Unknown,Installment,Unknown,Semi Finished,(View phone number),فيلا ستاند الون للبيع في ماونتن فيو الجديدة فيو بحيرة وبسعر مميز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable
Twin House,6000000.0,4,5,360,Yes,Unknown,Cash or Installment,Ready to move,Finished,Sheikh Zayed,توين هاوس كمبوند يوتوبيا 360م بتسهيلات علي 15 سنة امام بالم هيلز,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable
Town House,4800000.0,4,4,165,No,Unknown,Cash or Installment,Unknown,Not Finished,New Cairo - El Tagamoa,تاون هاوس165م+ جاردين109م بمقدم240الف فيومميز قسط ع8س كمبوند تاج سيتي,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Avilable
Twin House,8500000.0,4,4,350,No,Greens,Cash,Ready to move,Finished,Sheikh Zayed,للبيع ميجا هاوس 350 م كمبوند جرينز تشطيب سوبر لوكس,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable
Stand Alone Villa,4485910.0,4,4,205,Unknown,Mountain View Chillout Park,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed,standalone villa in chillout park -mountain view-OVER 9 YEARS,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,16000000.0,5,5,540,No,Villette,Cash,Ready to move,Not Finished,New Cairo - El Tagamoa,villa Medium at sodic villette new cairo فيلا فى سوديك فيليت التجمع,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Town House,875000.0,4,3,250,Unknown,Unknown,Unknown,Unknown,Unknown,New Cairo - El Tagamoa,فيلا للبيع في التجمع الخامس بالتقسيط,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,9605000.0,10+,5,704,No,Selena,Cash or Installment,2025,Not Finished,Sheikh Zayed,فاملي هاوس 704م| بحديقة425م|villas compound | الشيخ زايد الجديدة تقسيط,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,58000000.0,10,9,650,Unknown,Katameya Heights,Unknown,Unknown,Finished,New Cairo - El Tagamoa,فيلا فاخرة | 2 حمامات سباحة خاصة + جيم + جاكوزي,Avilable,Avilable,Avilable,Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Not Avilable
Town House,4100000.0,4,2,200,No,Unknown,Cash or Installment,Unknown,Unknown,Laurent,الحق فرصتك في أكبر كوومباوند سكني بكيان,Not Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Not Avilable,Avilable,Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
Stand Alone Villa,11000000.0,6,6,"1,310",No,Royal Meadows,Cash,Ready to move,Semi Finished,Sheikh Zayed,بفيو رائع على البحيره مباشره فيلا للبيع فى رويال ميدوز بموقع مميز,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable,Not Avilable
